region_order,regioncode,period,weekend_date,cw_sales,py_sales,sales_growth,cw_traffic,py_traffic,traffic_growth,closing_ratio,py_reported,py_closing_ratio,rank,TIV
7,48,201609, 2016-09-04,401,438,-0.0845,1196,1540.74068,-0.223749969,0.3353,416,0.270000011,1,
8,44,201609, 2016-09-04,3407,3401,0.0018,9287,10728.12524,-0.134331508,0.3669,3433,0.319999993,1,
1,26,201609,9/11/2016,1151,1199,-0.04,2800,3024.444525,-0.074210164,0.4111,1361,0.449999988,2,
2,36,201609,9/11/2016,535,533,0.0038,1441,1665.714314,-0.134905675,0.3713,583,0.349999994,2,
3,34,201609,9/11/2016,1571,1469,0.0694,4619,4714.705833,-0.020299428,0.3401,1603,0.340000004,2,
4,24,201609,9/11/2016,532,597,-0.1089,1518,1705.263179,-0.109814826,0.3505,648,0.379999995,2,
5,32,201609,9/11/2016,1078,1017,0.06,3373,3251.428627,0.037390141,0.3196,1138,0.349999994,2,
6,42,201609,9/11/2016,461,448,0.029,1435,1454.285739,-0.013261313,0.3213,509,0.349999994,2,
7,48,201609,9/11/2016,162,169,-0.0414,650,681.4814544,-0.046195614,0.2492,184,0.270000011,2,
8,44,201609,9/11/2016,1211,1288,-0.0598,4169,4281.250096,-0.026219,0.2905,1370,0.319999993,2,
1,26,201609,9/18/2016,1334,1321,0.0098,3236,3260.000086,-0.007361989,0.4122,1467,0.449999988,3,
2,36,201609,9/18/2016,631,674,-0.0638,1881,2085.714321,-0.0981507,0.3355,730,0.349999994,3,
3,34,201609,9/18/2016,1802,1707,0.0557,5246,5329.411709,-0.015651204,0.3435,1812,0.340000004,3,
4,24,201609,9/18/2016,669,695,-0.0374,1730,1957.894761,-0.116397861,0.3867,744,0.379999995,3,
5,32,201609,9/18/2016,1239,1244,-0.004,3565,3831.428637,-0.069537674,0.3475,1341,0.349999994,3,
6,42,201609,9/18/2016,556,503,0.1054,1468,1594.285741,-0.079211485,0.3787,558,0.349999994,3,
7,48,201609,9/18/2016,194,241,-0.195,701,899.9999642,-0.22111108,0.2767,243,0.270000011,3,
8,44,201609,9/18/2016,1383,1430,-0.0329,4667,4693.750105,-0.00569909,0.2963,1502,0.319999993,3,
1,26,201609,9/25/2016,1533,1715,-0.1061,3492,4157.777888,-0.160128296,0.439,1871,0.449999988,4,
2,36,201609,9/25/2016,742,720,0.0306,1964,2128.571465,-0.077315452,0.3778,745,0.349999994,4,
3,34,201609,9/25/2016,1921,1915,0.0031,5556,5823.529351,-0.045939384,0.3458,1980,0.340000004,4,
4,24,201609,9/25/2016,899,927,-0.0302,2180,2571.052664,-0.152098271,0.4124,977,0.379999995,4,
5,32,201609,9/25/2016,1427,1443,-0.0111,4141,4382.857217,-0.055182545,0.3446,1534,0.349999994,4,
6,42,201609,9/25/2016,587,618,-0.0502,2047,1911.428604,0.070926738,0.2868,669,0.349999994,4,
7,48,201609,9/25/2016,238,264,-0.0985,770,1044.444403,-0.262765928,0.3091,282,0.270000011,4,
8,44,201609,9/25/2016,1534,1563,-0.0186,4723,5203.125116,-0.092276297,0.3248,1665,0.319999993,4,
1,26,201610,10/2/2016,701,510,0.3745,1689,1446.666705,0.16751149,0.415,651,0.449999988,1,
2,36,201610,10/2/2016,301,222,0.3559,806,728.571441,0.106274491,0.3734,255,0.349999994,1,
3,34,201610,10/2/2016,1234,834,0.4796,3201,2564.705855,0.248096343,0.3855,872,0.340000004,1,
4,24,201610,10/2/2016,383,353,0.085,889,960.5263278,-0.074465765,0.4308,365,0.379999995,1,
5,32,201610,10/2/2016,931,705,0.3206,2628,2251.42861,0.167258863,0.3543,788,0.349999994,1,
6,42,201610,10/2/2016,459,358,0.2821,1738,1185.714306,0.465783108,0.2641,415,0.349999994,1,
7,48,201610,10/2/2016,184,199,-0.0754,636,699.9999722,-0.091428535,0.2893,189,0.270000011,1,
8,44,201610,10/2/2016,1276,1095,0.1653,3952,3659.375082,0.079965817,0.3229,1171,0.319999993,1,
1,26,201610,10/9/2016,1150,1139,0.0097,2821,2964.444523,-0.048388331,0.4077,1334,0.449999988,2,
2,36,201610,10/9/2016,494,590,-0.1627,1373,1880.000032,-0.269680864,0.3598,658,0.349999994,2,
3,34,201610,10/9/2016,1351,1457,-0.0728,4108,4617.64701,-0.110369417,0.3289,1570,0.340000004,2,
4,24,201610,10/9/2016,641,609,0.0525,1678,1705.263179,-0.015987667,0.382,648,0.379999995,2,
5,32,201610,10/9/2016,951,984,-0.0335,3140,2968.571479,0.057747816,0.3029,1039,0.349999994,2,
6,42,201610,10/9/2016,510,427,0.1944,1414,1408.571453,0.003853938,0.3607,493,0.349999994,2,
7,48,201610,10/9/2016,167,207,-0.1932,519,788.8888575,-0.34211265,0.3218,213,0.270000011,2,
8,44,201610,10/9/2016,1261,1339,-0.0583,4211,4509.375101,-0.066167727,0.2995,1443,0.319999993,2,
1,26,201610,10/16/2016,1150,1079,0.0658,2725,2748.888962,-0.008690406,0.422,1237,0.449999988,3,
2,36,201610,10/16/2016,653,625,0.0448,1847,2005.71432,-0.07913107,0.3535,702,0.349999994,3,
3,34,201610,10/16/2016,1622,1551,0.0458,4706,4947.058771,-0.048727695,0.3447,1682,0.340000004,3,
4,24,201610,10/16/2016,619,642,-0.0358,1812,1734.210548,0.044855829,0.3416,659,0.379999995,3,
5,32,201610,10/16/2016,1128,1113,0.0135,3499,3468.571488,0.008772635,0.3224,1214,0.349999994,3,
6,42,201610,10/16/2016,494,443,0.1151,1249,1454.285739,-0.14115915,0.3955,509,0.349999994,3,
7,48,201610,10/16/2016,170,185,-0.0811,576,725.9258971,-0.206530581,0.2951,196,0.270000011,3,
8,44,201610,10/16/2016,1313,1370,-0.0416,4372,4578.125102,-0.045023912,0.3003,1465,0.319999993,3,
1,26,201610,10/23/2016,1186,1362,-0.1292,2936,3406.666757,-0.138160492,0.404,1533,0.449999988,4,
2,36,201610,10/23/2016,707,719,-0.0167,2126,2248.571467,-0.054510817,0.3325,787,0.349999994,4,
3,34,201610,10/23/2016,1730,1696,0.02,5319,5435.29406,-0.021396094,0.3252,1848,0.340000004,4,
4,24,201610,10/23/2016,747,807,-0.0743,2066,2160.526343,-0.043751535,0.3616,821,0.379999995,4,
5,32,201610,10/23/2016,1102,1054,0.0455,3307,3305.714342,0.00038892,0.3332,1157,0.349999994,4,
6,42,201610,10/23/2016,451,448,0.0067,1357,1357.14288,-0.00010528,0.3324,475,0.349999994,4,
7,48,201610,10/23/2016,175,235,-0.2553,570,874.0740393,-0.34788133,0.307,236,0.270000011,4,
8,44,201610,10/23/2016,1318,1439,-0.0841,4578,4790.625107,-0.044383583,0.2879,1533,0.319999993,4,
1,26,201610,10/30/2016,1791,2401,-0.2541,3850,4755.555682,-0.190420582,0.4652,2140,0.449999988,5,
2,36,201610,10/30/2016,920,1064,-0.1353,2439,3051.428623,-0.200702261,0.3772,1068,0.349999994,5,
